category,name,unit,weight_grams,condition,notes,barcode,is_essential
tools,3 meter Multifunctional Survival Paracord - 10 core Survival Paracord - Army Green,pcs,15,New,Bushcraft kit,,true
tools,3 meter Multifunctional Survival Paracord - 10 core Survival Paracord - Black,pcs,15,New,Bushcraft kit,,true
tools,3 meter Multifunctional Survival Paracord - 10 core Survival Paracord - Orange,pcs,15,New,Bushcraft kit,,true
tools,30 meter Multifunctional Survival Paracord - 11 core Survival Paracord - Army Green,pcs,321,New,Bushcraft kit,,true
tools,30 meter Multifunctional Survival Paracord - 11 core Survival Paracord - Black,pcs,321,New,Bushcraft kit,,true
tools,31 meter Multifunctional Survival Paracord - 10 core Survival Paracord - Orange,pcs,246,New,Bushcraft kit,,true
tools,7.62 meter Multifunctional Survival Paracord - 10 core Survival Paracord - Army Green,pcs,66,New,Bushcraft kit,,true
tools,7.62 meter Multifunctional Survival Paracord - 10 core Survival Paracord - Black,pcs,66,New,Bushcraft kit,,true
tools,7.62 meter Multifunctional Survival Paracord - 10 core Survival Paracord - Khaki,pcs,66,New,Bushcraft kit,,true
tools,All Weather Pocket Notebook - Blue,pcs,62,New,Bushcraft kit,,true
tools,All Weather Pocket Notebook - Orange,pcs,62,New,Bushcraft kit,,true
tools,Antibacterial Wet Wipes - Yellow,pcs,45,New,Bushcraft kit,,true
tools,Antibacterial Wet Wipes - Yellow,pcs,45,New,Bushcraft kit,,true
tools,Coal Lighter x 48 pcs - Type Esbit,pcs,186,New,Bushcraft kit,,true
tools,Compass for Map Reading,pcs,35,New,Bushcraft kit,,true
tools,Duck Tapes x 2 - Black,pcs,65,New,Bushcraft kit,,true
tools,Duck Tapes x 2 - Black,pcs,65,New,Bushcraft kit,,true
tools,Durable Nylon Tactical Flashlight Pouch Holster,pcs,65,New,Bushcraft kit,,true
tools,Elastic Bandage 10cm x 4.5m,pcs,39,New,Bushcraft kit,,true
tools,Elastic Bandage 15cm x 4.5m,pcs,59,New,Bushcraft kit,,true
tools,Elastic Rubber Bands - Assorted Colors,pcs,31,New,Bushcraft kit,,true
tools,Flint Magnesium Rod Large,pcs,150,New,Bushcraft kit,,true
tools,Flint Magnesium Rod Small,pcs,60,New,Bushcraft kit,,true
tools,Folding Saw,pcs,256,New,Bushcraft kit,,true
tools,Folding Water & Coffee Cup,pcs,80,New,Bushcraft kit,,true
tools,Folding Water & Coffee Cup,pcs,80,New,Bushcraft kit,,true
tools,Folding Water & Coffee Cup,pcs,80,New,Bushcraft kit,,true
tools,High Definition Monocular Telescope,pcs,269,New,Bushcraft kit,,true
tools,High Definition Monocular Telescope Small for Slingshots,pcs,56,New,Bushcraft kit,,true
tools,Isolation Tapes x 2,pcs,65,New,Bushcraft kit,,true
tools,Keychain Magnet - Red,pcs,23,New,Bushcraft kit,,true
tools,Large Green Glow Sticks x 2,pcs,43,New,Bushcraft kit,,true
tools,Large Green Glow Sticks x 2,pcs,43,New,Bushcraft kit,,true
tools,Metal Windproof Rope Lighter Portable,pcs,41,New,Bushcraft kit,,true
tools,Metal Windproof Rope Lighter Portable,pcs,41,New,Bushcraft kit,,true
tools,Morakniv Companion Spark,pcs,126,New,Bushcraft kit,,true
tools,Morakniv Kansbol,pcs,137,New,Bushcraft kit,,true
tools,Morakniv Karberg Stainless Steel,pcs,246,New,Bushcraft kit,,true
tools,Multi Functional Survival Signal Mirror,pcs,29,New,Bushcraft kit,,true
tools,Multi Functional Universal Snowflake Wrench,pcs,48,New,Bushcraft kit,,true
tools,Multitool,pcs,331,New,Bushcraft kit,,true
tools,Outdoor Men's Tactical Glasses Case,pcs,92,New,Bushcraft kit,,true
tools,Outdoor Waterproof Storage Box Orange,pcs,95,New,Bushcraft kit,,true
tools,Outdoor Waterproof Storage Box Orange,pcs,95,New,Bushcraft kit,,true
tools,Pencils,pcs,11,New,Bushcraft kit,,true
tools,Pens,pcs,20,New,Bushcraft kit,,true
tools,Pocket knife Albainox - Ducks,pcs,140,New,Bushcraft kit,,true
tools,Pocket knife Albainox - Pheasant,pcs,200,New,Bushcraft kit,,true
tools,Portable Fire Starter - Glass,pcs,40,New,Bushcraft kit,,true
tools,Portable Fire Starter - Glass,pcs,70,New,Bushcraft kit,,true
tools,Portable Fire Starter - Glass,pcs,37,New,Bushcraft kit,,true
tools,Portable Stainless Steel Type Esbit Burning Camping Stove,pcs,164,New,Bushcraft kit,,true
tools,Powerful Binoculars 1000 x 25,pcs,174,New,Bushcraft kit,,true
tools,Rafford 2Pcs Pure natural ignition matches pine wood kindling matches,pcs,50,New,Bushcraft kit,,true
tools,Shovel,pcs,630,New,Bushcraft kit,,true
tools,Stainless Steel Multifunctional Camping Fork with Knife,pcs,36,New,Bushcraft kit,,true
tools,Stainless Steel Multifunctional Camping Fork with Knife,pcs,36,New,Bushcraft kit,,true
tools,Stainless Steel Wire Saw,pcs,17,New,Bushcraft kit,,true
tools,Super Strong Double-Sided 3M Foam Adhensive Tape x 2,pcs,62,New,Bushcraft kit,,true
tools,Survival Candle,pcs,90,New,Bushcraft kit,,true
tools,Survival Candle,pcs,90,New,Bushcraft kit,,true
tools,Survival Candle,pcs,90,New,Bushcraft kit,,true
tools,Survival Kit - Black Box,pcs,534,New,Bushcraft kit,,true
tools,Survival Paracord Bracelet - Black,pcs,30,New,Bushcraft kit,,true
tools,Survival Paracord Bracelet - Green,pcs,30,New,Bushcraft kit,,true
tools,Survival Whistle,pcs,10,New,Bushcraft kit,,true
tools,Tactical Compass,pcs,180,New,Bushcraft kit,,true
tools,"Tactical Key Pouch, Multifunctional MOLLE Attachment Round Bag",pcs,50,New,Bushcraft kit,,true
tools,Tactical Molle Radio Walkie Talkie Pouch,pcs,43,New,Bushcraft kit,,true
tools,Tactical Molle Radio Walkie Talkie Pouch,pcs,70,New,Bushcraft kit,,true
tools,Tactical Molle System K-Type Webbing Straps for the Knife,pcs,80,New,Bushcraft kit,,true
tools,Tactical Paracord Rope Lanyard - Army Green,pcs,10,New,Bushcraft kit,,true
tools,Tactical Paracord Rope Lanyard - Orange,pcs,10,New,Bushcraft kit,,true
tools,Tactical Scissor - Green,pcs,33,New,Bushcraft kit,,true
tools,Tactical Scissor - Orange,pcs,33,New,Bushcraft kit,,true
tools,Tinder Maker with Fire Starter - Yellow,pcs,49,New,Bushcraft kit,,true
tools,Tyre Up (black large/blue small/transparent large/green small/red small),pcs,48,New,Bushcraft kit,,true
tools,Tyre Up (black small/yellow small/transparent small/black large),pcs,74,New,Bushcraft kit,,true
tools,Umbrella Green,pcs,247,New,Bushcraft kit,,true
tools,Victorinox Handyman,pcs,206,New,Bushcraft kit,,true
tools,Victorinox Swiss Pocket Knife Red,pcs,78,New,Bushcraft kit,,true
tools,Waterproof Matches,pcs,25,New,Bushcraft kit,,true
tools,Waterproof Matches,pcs,25,New,Bushcraft kit,,true
tools,Barbeque Burning Matches,pcs,30,New,Bushcraft kit,,true